user_id,recommended_restaurant_id,restaurant_name,score
U001,R001,Pizza Palace,0.943
U001,R009,Pasta Corner,0.886
U001,R004,Taco Fiesta,0.357
U002,R002,Sushi World,1.0
U002,R006,Olive Table,0.471
U002,R0010,Seoul Kitchen,0.443
U003,R003,Curry House,0.886
U003,R007,Spice Garden,0.414
U003,R002,Sushi World,0.2
U004,R004,Taco Fiesta,0.857
U004,R001,Pizza Palace,0.443
U004,R009,Pasta Corner,0.386
U005,R005,Dragon Express,0.829
U005,R008,Grill Hub,0.3
U005,R002,Sushi World,0.2
U006,R006,Olive Table,0.971
U006,R002,Sushi World,0.5
U006,R0010,Seoul Kitchen,0.443
U007,R007,Spice Garden,0.914
U007,R003,Curry House,0.386
U007,R002,Sushi World,0.2
U008,R008,Grill Hub,0.8
U008,R005,Dragon Express,0.329
U008,R002,Sushi World,0.2
U009,R001,Pizza Palace,0.943
U009,R009,Pasta Corner,0.886
U009,R004,Taco Fiesta,0.357
U0010,R0010,Seoul Kitchen,0.943
U0010,R002,Sushi World,0.5
U0010,R006,Olive Table,0.471
